Ticker,Name,Sector
CQP,Cheniere Energy,Energy
ETR,Entergy,Energy
PPL,PPL,Energy
EIX,Edison International,Energy
PCG,PG&E Corporation ,Energy
DTE,DTE Energy,Energy
VLO,Valero,Energy
ED,Consolidated Edison,Energy
MPLX,MPLX,Energy
WMB,Williams,Energy
PXD,Pioneer Natural Resources,Energy
WEC,WEC Energy Group,Energy
MPC,Marathon Petroleum,Energy
PEG,PSEG,Energy
PSX,Phillips 66,Energy
EOG,EOG Resources,Energy
ES,Eversource,Energy
KMI,Kinder Morgan,Energy
XEL,Xcel Energy,Energy
SRE,Sempra Energy,Energy
AEP,American Electric Power,Energy
EXC,Exelon,Energy
EPD,Enterprise Product,Energy
COP,ConoccoPhillips,Energy
D,Dominion Energy,Energy
SO,Southern Company,Energy
DUK,Duke Energy,Energy
NEE,NextEra Energy,Energy
CVX,Chevron,Energy
XOM,ExxonMobil,Energy
GOOGL,test,test
